cliente_id,nombre_cliente,email,telefono,ciudad,fecha_registro,segmento
C001,Juan Pérez,juan.perez@email.com,3001234567,Bogotá,2023-03-15,Premium
C002,María García,maria.garcia@email.com,3009876543,Medellín,2023-05-20,Standard
C003,Carlos López,carlos.lopez@email.com,3005551234,Cali,2023-07-10,Premium
C004,Ana Rodríguez,ana.rodriguez@email.com,3008887777,Barranquilla,2023-08-05,Standard
C005,Luis Martínez,luis.martinez@email.com,3002223333,Cartagena,2023-09-12,Basic
C006,Sofia Hernández,sofia.hernandez@email.com,3007778888,Bucaramanga,2023-10-18,Premium
C007,Diego Torres,diego.torres@email.com,3004445555,Pereira,2023-11-25,Standard
C008,Camila Ruiz,camila.ruiz@email.com,3006669999,Manizales,2023-12-08,Basic
C009,Andrés Silva,andres.silva@email.com,3003334444,Santa Marta,2024-01-14,Premium
C010,Valentina Castro,valentina.castro@email.com,3001112222,Ibagué,2024-02-22,Standard
